talhao,cultura,hectares,produto,fabricante,tipo,dose,unidade_ha,quantidade_total,unidade_qtd,custo_ha,custo_total,por_metro,total_aplicacao,unidade_aplicacao
5,Café,4.0,Quantis,Syngenta,Fertilizante Foliar,2.0,L/ha,8.0,L,120.0,480.0,0.4,8.0,L
6,Trigo,31.5,Decis,Bayer,Inseticida,0.2,L/ha,6.3,L,36.0,1134.0,0.04,2.4,L
6,Trigo,31.5,Fox,Bayer,Fungicida,0.5,L/ha,15.75,L,115.0,3622.5,0.1,6.0,L
6,Trigo,31.5,Bayfolan,Bayer,Fertilizante Foliar,2.0,L/ha,63.0,L,100.0,3150.0,0.4,24.0,L
6,Trigo,31.5,Fastac,BASF,Inseticida,0.2,L/ha,6.3,L,38.0,1197.0,0.04,2.4,L
6,Trigo,31.5,Opera,BASF,Fungicida,0.6,L/ha,18.9,L,150.0,4725.0,0.12,7.2,L
6,Trigo,31.5,Basfoliar Boro,BASF,Fertilizante Foliar,1.0,L/ha,31.5,L,35.0,1102.5,0.2,12.0,L
6,Trigo,31.5,Karate Zeon,Syngenta,Inseticida,0.15,L/ha,4.725,L,31.5,992.25,0.03,1.8,L
6,Trigo,31.5,Trivapro,Syngenta,Fungicida,0.4,L/ha,12.6,L,128.0,4032.0,0.08,4.8,L
6,Trigo,31.5,Quantis,Syngenta,Fertilizante Foliar,2.0,L/ha,63.0,L,120.0,3780.0,0.4,24.0,L
